"input","add_tag","final_reply_content","tagList"
女儿让俺休息呢，画不了了[尴尬][捂脸][害羞],否,哎呀，女儿是心疼您呢！不过国画正好能修身养性，画的时候随心而动，累了就歇会儿，反而能舒展筋骨。昨晚的《猫咪戏蝶》线条练得咋样啦？哪怕只画几笔也发给我看看，老师帮您把把关。今晚 18:45 陈墨老师要教《桂林山水》的独家水法，特别精彩，咱们尽量来听听，感受下水墨的奇妙变化呀🌊,"260429;赠品单;已填地址;有时间;梅-树干上雪没有留下来;猫-毛画的黑不飘逸"
我已是功底没问题的了、你直播的笔法我好喜欢！我只想要你的帖、行书帖、可以给经费你！老师、我真的没时间上课,否,"","260501;没时间;无工具;无工具"
听院长讲还可以申请领古今名画动物全集，我能申请吗？还有今早我看您还给我发了一份书法方面的资料，我未来及收存很可惜，总之，对于您们能给的资料我都想要，不知这愿望是否能实现，因为这是我的愛！有机会我都想去学！,否,同学您这份好学的心太让老师感动了！🤩资料都在您微信里，往上翻翻就能找到，书法和国画不分家，以后跟着陈墨老师系统学，更多珍贵资料都会分享给您。昨晚的猫咪练得顺手吗？今晚咱们要画《桂林山水》了，带着您的热情来，老师带您领略水墨山河的美！,"260429;梅-作品不完整;无工具;无工具;猫-毛画的黑不飘逸"
收到,否,"","260501;有时间;有工具;有工具"
我可以看你的帖自吾,否,"","260501;没时间;无工具;无工具"
收到,否,"","260501;有时间"
可以的,否,"","260501"
我也搞了三十多年的对联了,否,"","260501;没时间;无工具;无工具"
说完了我就喜欢你的行书帖,否,"","260501;没时间;无工具;无工具"
"雯雯老师好，我今天虽然不能准时上课，但我还是看了院长讲课的录像，非常喜欢。遗憾的是我今天刚带孙子从昆明来红河州的建水古城度假。所以作业没法完成。敬请谅解，
不过我会认真听课并将院长传授的技法作了记录争取与其他同学共同进步。
谢谢各位老师，
你们辛苦了。[咖啡][抱拳][抱拳][抱拳][玫瑰][玫瑰][玫瑰]",否,"","260501;有时间;有工具;有工具"
这个帖不对,否,"","260501;没时间;无工具;无工具"
收到,否,"","260501;有时间;有工具;有工具"
"888",否,"","260501"
"888",否,"","260501"
"{""messageType"":""image"",""messageContent"":""http://dragnet-sunlands.oss-accelerate.aliyuncs.com/20260501/2f7ebfd319a07434396562f8c4799feb_705ad31c-6f9e-4971-baea-70029b128bab.jpg""}",否,"","260418;3;赠品单;已领取赠品"
收到,否,"","260501;没时间;有工具;有工具"
高峰13833002682河北省保定市莲池区财信小区2号楼一单元501室,是,"","260504;赠品单"
没,是,"","260504;赠品单;已填地址"
已经报名，已交299元。,否,"","260425;赠品单;有工具;有工具;有时间;出勤A;出勤B;作业2;猫-五官不够协调;已破冰;出勤C;出勤D;出勤E"
谢谢老师，您辛苦了,否,"","1;260428;赠品单;已领取赠品;已填地址;有工具;有工具;回复时段2;回复时段3;出勤A;作业1;回复时段4;回复时段6;A;出勤B;作业2;回复时段8;回复时段9;B;回复时段11;出勤C;作业3"
老师好，我看到提示就加上你了，现在才明白你是初级班的课程，我已经学过了，也马上就要上完院长班的课了，很快就要开始名家亲传班的课程了。就不进班了，谢谢老师！祝老师五一节快乐！,否,"","260501;2026Y5"
方便,否,"","260501"
正是吃饭时间，不太方便,否,"","260501"
不是说可以免费领取整套书法资料吗？南宁市植物路55号世源冷气公司刘军18977115000[抱拳],否,"","260501"
可以吧,是,"","260504;赠品单;已领取赠品;已填地址"
方便。,否,"","260501"
好的，老师,否,"","260501"
谢谢磊磊老师。,否,"","260501"
老师，领资料怎么领？,否,"","260501"
老师，你发资料我看看,否,"","260501"
收到,否,"","260501;有时间;有工具;有工具"
方便听课,否,"","260501"
你好,否,"","260501"
方便,否,"","260501"
收到,否,"","260501;有时间;无工具;无工具"
上课哪天开始？,否,"","260501"
收到老师，明天我会参加学习的,否,"","260501;2026Y4"
收到,否,"","260501;有时间;有工具;有工具;回复时段1"
节日快乐！祝福你和家人五一节幸福安康！心想事成，万事如意！,否,"","260404;2026Y3;大师班1;完课1;完课2;完课3;完课4;新课作业1;完课5;完课6;小红书;完课8;完课10;银卡会员V1"
收到,否,"","260501;没时间;有工具;有工具"
最好笫二天上午重播。,否,"","260501"
已成功,否,"","260501"
"6",否,"","260501"
在回家的路上开车,否,"","260501;有时间;有工具;有工具"
[抱拳],否,同学太客气啦！我是您的班主任清禾\n明天晚上 7 点咱们就正式跟随陈小朵老师开启声乐体验课了，那这个上课时间您方便来上课吗？,"260502"
方便,否,"","260501"
可以,是,"","260503"
学啥的,否,"","260501"
收到了，谢谢老师，您辛苦了！,否,"","260501;有时间;无工具;无工具"
谢谢小月老师！,否,您太客气啦~能陪伴您一起走进书法世界，我也特别开心🥰 5 月 3 号晚上 6 点 50 分，陈墨院长会带大家体验毛笔书法的魅力，记得提前准备好纸笔哦。这两天有任何准备上的小问题，随时喊我就行！,"260503;有时间"
好的！,否,收到您的确认啦！这两天您可以先找找家里的毛笔和墨汁，没有的话用普通毛边纸和墨水代替也完全没问题，咱们主打一个轻松体验✏️ 5 月 3 号晚上 6 点 50 分我会把上课链接发给您，有任何准备上的小疑问，随时喊我就行！,"260503;有时间"
有的！,是,"","260503;有时间"
准时到课。,否,收到您的承诺啦！有您这份心，陈墨院长和大家肯定都特别开心🥳 5 月 3 号晚上 6 点 50 分，我会把上课链接发给您，咱们一起静下心来感受毛笔在纸上行走的乐趣，期待和您云端相见！,"260503;有时间;有工具;有工具"
谢谢老师！,否,您太客气啦~能陪您一起开启书法之旅，我也特别开心🥰 5 月 3 号晚上 6 点 50 分，陈墨院长会带大家体验毛笔书法的魅力，提前准备好纸笔就好。这两天有任何准备上的小问题，随时喊我就行！,"260503;有时间;有工具;有工具"
"1",否,"","260501"
老师该休息了,否,"","260501"
张明庆，13146343402/北京海淀区大钟寺东路太阳园二号楼2602室,是,"","260504;赠品单"
幸会！节日快乐🎈,否,🎈 您也节日快乐呀！收到您的问候真开心。咱们 5 月 3 号晚 6 点 50 就正式开课啦，陈墨院长会带大家从零基础体验毛笔书法的乐趣，既能静心又能修身养性。这两天您可以先准备下纸笔，期待和您一起在墨香中度过美好时光！,"260503"
方便,是,"","260503"
收到谢谢,否,"","260501;有时间"
[握手][咖啡],否,收到您的问候啦，心里暖暖的🤗 5 月 3 号晚咱们就正式开课了，陈墨院长会手把手带大家体验毛笔书法的魅力。这两天您可以先备好纸笔，哪怕只是静静看老师示范，也能让心静下来呢。期待和您一起开启这段墨香之旅！,"260503;有时间"
我收到了，字都写好了,否,"","260501;有时间;无工具;无工具"
收到,否,"","260501;有时间"
白酒到了，我签字,否,"","260501;有时间;无工具;无工具"
其他的话就不说了,否,"","260501;有时间;无工具;无工具"
我都有文房四宝,否,"","260501;有时间"
谢谢宇宙爸爸对我的关怀,否,"","260501;有时间;无工具;无工具"
收到,否,"","260501;有时间;有工具;有工具"
方便,否,"","260501"
方便,是,"","260503"
方便,否,"","260501"
有的,是,"","260503;有时间"
已加,是,"","260503"
没问题,否,收到您的确认啦！那5月3号晚上6点50分，我会准时把直播链接发给您。这是毛笔书法体验课，您提前备支毛笔就行，不用太专业，咱们跟着陈墨院长轻松入门就好🌼,"260503;有时间"
能,是,"","260503;2025Y5END"
没有,是,"","260503;2025Y5END;有时间"
收到,否,"","260501"
好,否,收到啦！那您这两天可以先看看工具清单，提前准备起来✏️。5 月 3 号晚上 6 点 50 开课前，我会拉您进群并发上课链接，到时候咱们跟着陈墨院长一起动笔体验，期待见到您的进步哦～,"260503;2025Y5END;有时间;无工具;无工具"
[愉快],否,"","2024Y1END;0929;1013;国画"
不一定,否,理解您的顾虑，很多同学在开始前都会犹豫呢。其实咱们这次是陈墨院长亲授的毛笔书法直播体验课，哪怕只听一节，对用笔和静心都很有帮助，就当给自己一段放松时光🌼\n\n5 月 3 号晚 6 点 50 开课，您先预留出这个时间试试？提前准备支毛笔就行，不要求专业工具。方便的话回复个“好”，我给您开通权限。,"260503"
[OK],否,收到您的确认啦！那 5 月 3 号晚 6 点 50 分，我准时拉您进直播间。这次是陈墨院长亲授的毛笔书法课，哪怕零基础也能跟上，就当给自己一段静心时光🌼,"260503"
可以,是,"","260503;2025Y6END"
可以看回放吗？,否,有回放的哈～不过建议您尽量来听直播，因为需要先进教室听满 10 分钟，系统才会自动生成回放链接。这次是陈墨院长亲自带的免费体验课，现场互动氛围特别好，还能跟着老师一起动笔练，机会挺难得的✏️咱们 3 号晚上 6 点 50 见？,"260503;2025Y6END;有时间"
[强][强][强][抱拳][强],否,"","260501;有时间"
老师   我是脚摔伤了，不能动，只能躺在床上，我会努力的，,否,🤗 听到您受伤的消息，心里真不是滋味，您先安心养伤最重要。其实躺着也能听课，咱们这节毛笔书法体验课，跟着陈墨院长听讲解、看示范，光是用眼睛学、用心感受笔法，也能让心静下来，是很好的精神放松呢。您先把身体照顾好，开课前我会把链接发给您，您躺着听就行，不用有压力,"260503;2025Y5END;有时间;无工具;无工具"
"{""messageType"":""voice"",""messageTranscript"":""乳罩。"",""messageContent"":""http://dragnet-sunlands.oss-accelerate.aliyuncs.com/20260501/BiXue_3_bixue_1777575491337.mp3""}",否,"","260501;有时间"
已加,否,收到啦，您能顺利加上我就好！这是毛笔书法体验课，工具用家里的普通毛笔就行。这两天您可以先放松心态，等开课前我会把链接发给您，期待和您一起感受书写的静心时光🌼,"260503;有时间"
可以,否,"","260501"
您好！,否,您好呀！看到您回复我就放心啦～咱们 5 月 3 号晚上 6 点 50 分准时开课，是陈墨院长亲自带的毛笔书法体验课。这两天您可以先准备一支毛笔和墨水，不用太专业，能写字就行。到时候我会在群里发链接，期待和您一起静心练字哦✏️,"260503"
好的，谢谢老师,否,您太客气啦，安心养伤才是头等大事🤗。既然答应了会努力，那老师就放心了。开课前我会把链接发给您，您躺着听陈墨院长讲课，当是给心灵放个假，咱们到时候见！,"260503;2025Y5END;有时间;无工具;无工具"
还未有时间。,是,"","260503"
收到，今天没时间看,否,"","260501;有时间;无工具;无工具"
我是这样想的,否,👍 您这样想就对了！其实很多同学刚开始也犹豫，但跟着陈墨院长听完一节直播，都觉得心里特别静，手眼协调也跟着提升了。您安心养伤，躺着听讲解、看示范也是一种享受，开课前我把链接发给您，咱们一起放松一下心情。,"260503;2025Y5END;有时间;无工具;无工具"
"{""messageType"":""image"",""messageContent"":""http://dragnet-sunlands.oss-accelerate.aliyuncs.com/20260501/7be7586989c39afa1dff816a8d47b1f2_2b0853e5-a450-4b1e-ad18-a231b47ba498.jpg""}",否,"","1;260428;赠品单;待填地址;已领取赠品;已破冰;有时间;出勤A;作业1;A;出勤B;作业2;B;出勤C;作业3"
嗯,否,"","260503;2025Y5END;有时间;无工具;无工具"
有,是,"","260503"
谢老师[合十][合十][强],否,🤗 您太客气啦，叫我小月老师就好\n5 月 3 号周日晚上 6 点 50 分准时开课，到时候我会把直播链接发给您。\n这两天您可以先准备一支毛笔和墨水，咱们是毛笔书法课，工具简单就行。\n期待和您一起跟着陈墨院长感受书法的魅力,"260503;有时间"
方便,是,"","260503"
收到,否,"","260501;有时间;有工具;有工具;回复时段1"
小月老师您好,否,您好呀！收到您的消息真开心～咱们毛笔书法体验课是5月3号周日晚上6点50开始，连续6晚。这两天您可以先准备下基础的毛笔和纸墨，不用太专业，顺手就行。您看这个时间方便来听陈墨院长的直播课吗？✏️,"260503"
[胜利],否,"","260501;有时间"
老师您好！,否,您好呀！收到您的问候真开心 🌼。咱们 5 月 3 号晚 6 点 50 分就要正式开课啦，这是陈墨院长亲授的毛笔书法体验课。这两天您可以先备支毛笔，不用太专业，能蘸墨就行。期待您来感受下书法的静心魅力，到时候我拉您进群发链接哈！,"260503;重要"
"666",否,收到您的 666 啦，看来您心情不错呀！👍\n\n咱们 5 月 3 号晚 6 点 50 分就要正式开课了，陈墨院长会带大家体验毛笔书法的魅力。这两天您可以先准备一支毛笔和墨水，不用太专业，能写字就行。期待在直播间见到您，一起静心练字哦！,"260503;重要"
方便,是,"","260503"
没问题,否,收到啦，您这态度真让人放心👍。那这两天您可以先备一支毛笔和墨汁，不用太专业，能写就行。5 月 3 号晚上 6 点 50 分，我会准时把直播链接发给您，咱们跟着陈墨院长一起感受毛笔书法的魅力，期待和您见面哦。,"260503;有时间"
方便,是,"","260503;2024Y6END"
收到,否,"","260501;有时间;有工具;有工具"
有的，老师,是,"","260503;2024Y6END;有时间"
没有写过毛笔写，能学会吗,是,"","260503;有时间"
[玫瑰],否,🌹 收到您的玫瑰啦！看到您这么有热情，老师真开心。咱们5月3号周日晚6点50就正式开课了，这两天您可以先把笔墨纸砚找出来放好，到时候跟着陈墨院长直接动笔练，手感会更好哦,"260503;2024Y6END;有时间;有工具;有工具"
收到。,否,"","260501;有时间"
好的,否,收到啦！零基础完全不用担心，陈墨院长讲课特别细致，就是专门带着大家从零开始的✏️。很多同学刚开始也怕手抖，跟着练几天就能写出漂亮的笔画了。这两天您先备支普通毛笔和墨汁就行，5 月 3 号晚上我发链接带您一起体验，就当是给自己留段静心时光～,"260503;有时间;无工具;无工具"
收到了！,否,"","260501;有时间;有工具;有工具"
 好的,否,👍 收到啦！零基础完全不用担心，陈墨院长讲课特别细致，就是专门带着大家从握笔开始学起的。咱们这次是毛笔书法体验课，工具要求也不高，家里有小毛笔就能跟着练。这两天您先放宽心，5 月 3 号晚上我会把链接发给您，咱们一起来感受下静心书写的乐趣就好啦,"260503;有时间;无工具;无工具"
我通过了你的联系人验证请求，现在我们可以开始聊天了,否,🤗 欢迎同学呀！终于加上您啦，我是图图老师。咱们陈墨院长的国画体验课 5 月 4 号就正式开课咯，连续六晚带您零基础入门。为了让您上课顺手，我得先核对下您的收货地址和电话，方便给您寄画具，您看现在方便发我一下吗？,"260504"
四川省泸州市龙马潭区韩林君空天专家社区,是,收到啦～您的收货地址已登记好，书籍会尽快安排发出\n明天晚上 7 点咱们的体验课就正式开始了，这个上课时间您方便来上课吗？,"260502;赠品单;已领取赠品;激活;激活;待介绍老师"
可以,是,"","260503"
我问了一下，这个准确,否,收到，那咱们就定好啦！这次授课的是著名女高音陈小朵老师，她唱功了得更擅长教学，方法通俗易懂，相信您跟着学一定会有明显进步。对了，您之前了解过陈小朵老师吗？,"260502;赠品单;已领取赠品;激活;激活;待介绍老师;三线及其它城市"
收到,否,"","260501;有时间;有工具;有工具"
收到,否,"","260501;有时间"
说小学韩林俊,是,没问题，地址已确认好啦！这次授课的陈小朵老师深耕歌唱行业 30 多年\n她是北京奥运会开幕式主题歌《我和你》原唱，也是中国歌剧舞剧院首席女高音和中国音乐学院博士。对了同学，您之前接触过唱歌吗？,"260502;赠品单;已领取赠品;激活;激活;待介绍老师;三线及其它城市"
可以，可以，,是,好的，那咱们就准时见！对了同学，您平时唱歌有没有特别想解决的问题呀？比如跑调、高音上不去或者气息不足之类的？,"260502;赠品单;已领取赠品;激活;激活;待介绍老师;三线及其它城市"
有,是,"","260503;有时间"
没有得到过,是,没得到过专业指导太正常啦，唱歌是把基础模块补齐\n方向对了进步会很快，小朵老师会拆开讲清楚哈。,"260502;赠品单;已领取赠品;激活;激活;待介绍老师;三线及其它城市;待发文件"
我都在当地的合唱团里面唱歌,否,原来您还在合唱团呀，那现在时间灵活正好能更专注地打磨歌声呢。接下来的体验课记得提前安排好时间，尽量按时来跟着老师开口练习，把您的底子发挥得更好哦。,"260502;赠品单;已领取赠品;激活;激活;待介绍老师;三线及其它城市;待发文件;待发上课链接"
方便,是,"","260503;重要"
对对对,否,那太棒啦，有合唱团基础学起来更顺手\n明晚 7 点第一节课，小朵老师会带练发声，您尽量准时来体验下这种自然歌唱的感觉，给自己一段放松时间好吗？,"260502;赠品单;已领取赠品;激活;激活;待介绍老师;三线及其它城市;待发文件;待发上课链接"
[OK],否,收到啦！那您先忙，这两天可以试着用现有的笔墨随便写写，找找手感🖌️。5月3号晚上6点50开课前，我会把上课链接发给您，并拉您进学习群，到时候咱们跟着陈墨院长一起静心练字就好。,"260503;有时间;有工具;有工具"
[握手],否,🤗 收到您的问候啦！还有两天咱们 5 月 3 号的课就开始了，这两天您可以先把笔墨纸砚找出来放在手边，提前找找手感。开课前我会把链接发给您并拉您进群，到时候跟着陈墨院长一起静心写字就好,"260503;有时间;有工具;有工具"
收到！准时上课！,否,"","260501;2025Y7END;有时间"
笔，墨纸等都有,是,"","260503;重要;有时间"
领取资料[合十][合十][玫瑰][玫瑰],否,同学您好呀，收到您的心意啦不过咱们这次是纯免费的直播体验课，没有额外的资料包可以单独领取哦。\n\n5 月 3 号周日晚上 6 点 50 分，陈墨院长会直接在直播间带着大家从零基础开始练毛笔字，现场跟着写就是最好的资料！您到时候准备好纸笔，我拉您进教室就行，期待和您一起静心写字✏️,"260503;2025Y6END"
可以听课,是,"","260503;2025Y6END"
我是个病人，现在刚刚才输液结速了，见到你们还在工作，是个值得我遵敬的人，就看了就加上好友了，我的时间是乱的，到时候能不能跟的上再说，，，，，，一个爱好书法的病老头,否,🤗 您刚输完液要多休息呀，看到您的留言心里暖暖的。咱们班很多银发同学，陈墨院长教得特别细，从握笔开始零基础也能跟。时间乱没关系，先安心养病，等 5 月 3 号晚上有空来听听，把书法当个静心爱好就好，不用有压力,"260503"
都有的，草书贴？,是,"","260503;2025Y6END;有时间"
是谁讲课,否,主讲是及象书画院的创始人陈墨院长，他是知名的青年艺术家，也是咱们中国书法的首席主讲呢。\n\n我作为班主任，主要负责全程陪伴大家，帮您解决学习中的小问题。这次体验课由陈院长亲自带大家领略毛笔书法的魅力，哪怕零基础也能跟上，特别能让人静心专注。5 月 3 号晚上 6 点 50 分准时开课，到时候我会在群里发链接，您记得留意消息哦 ✏️,"260503;重要"
直播间老师说送字帖,否,🎁 您说得对，陈墨院长确实会在直播间送字帖作为福利呢！不过咱们 5 月 3 号晚上 6 点 50 分正式开课后，我会第一时间在群里发领取方式。现在您先安心准备好纸笔，到时候跟着院长现场练，也是很好的体验哦,"260503;2025Y6END;有时间;有工具;有工具"
你好！[握手][握手][握手],否,您好呀！看到您的握手啦，心里暖暖的。\n\n咱们 5 月 3 号晚上 6 点 50 分就正式开课了，这是陈墨院长亲自带的毛笔书法体验课。这两天您可以先备支毛笔，不用太专业，能蘸墨就行。期待和您一起在墨香里静下心，享受书写的乐趣✏️。,"260503"
好的，我知道了,否,太好了，那明晚 7 点咱们准时见！跟着小朵老师轻松开嗓，感受身体自然发声的状态就好。,"260502;赠品单;已领取赠品;激活;激活;待介绍老师;三线及其它城市;待发文件;待发上课链接"
没水平，讲的好啰嗦,否,您说得对，我刚才确实有点啰嗦啦，抱歉抱歉！其实陈墨院长讲课特别干脆利落，全是干货，很多同学反馈听他课特别过瘾，一点都不拖沓。咱们 5 月 3 号晚上开课，到时候您亲自感受一下就知道啦 ✌️,"260503;重要"
可以的,是,"","260503"
行我看见你们的课本上很多歌都是我们以前唱过的。所以我就想买一本,否,课本里的歌确实经典，您有基础唱起来更亲切呢\n不过咱们这次重点是小朵老师在线课现场教学带练发声方法，书先不急，明晚先来体验下这种自然歌唱的感觉，给自己一段放松时间好吗？,"260502;赠品单;已领取赠品;激活;激活;待介绍老师;三线及其它城市;待发文件;待发上课链接"
有一点吧,是,"","260503;有时间"
不是你啰嗦，是陈陈墨好啰嗦,否,哈哈，原来您是想说陈院长讲得细致呀！其实呀，他是因为想照顾零基础的同学，把每个笔画都拆碎了讲，生怕大家听不懂。这就好比学走路，步子迈小点反而更稳当呢。5 月 3 号开课后，您试着静下心来听一节，说不定这种“慢节奏”正好能帮您找回专注的感觉 🌼,"260503;重要"
你发老师的视频我看过,否,您看过视频呀，那明晚来现场互动感受会更不一样！光看体会不到老师带着把身体打开、轻松发声的感觉哦。,"260502;赠品单;已领取赠品;激活;激活;待介绍老师;三线及其它城市;待发文件;待发上课链接"
确实很好唱的,否,您听过小朵老师的歌呀，那这次跟着本尊学更亲切啦！\n她现场带练自然发声，您有基础肯定上手快，有空来体验下这种轻松唱歌的感觉好吗？,"260502;赠品单;已领取赠品;激活;激活;待介绍老师;三线及其它城市;待发文件;待发上课链接"
好的，我准时参加,否,太好了，有您这句话我就放心啦！明晚跟着小朵老师放松开嗓，好好享受这段属于您的歌唱时光。,"260502;赠品单;已领取赠品;激活;激活;待介绍老师;三线及其它城市;待发文件;待发上课链接"
书法技巧，方式，方法没有别人的好,否,您别急，每个老师风格确实不同呢。陈院长是特意把技巧拆碎了讲，就是怕大家跟不上，这种“笨办法”其实最适合打基础，能让人心静下来慢慢体会笔锋的变化。5 月 3 号开课后，您试着按他的方法写两笔，说不定会有新发现 🌟,"260503;重要"
老师好,否,您好呀！收到您的问候真开心～咱们5月3号晚6点50分就要正式开课啦，陈墨院长会亲自带大家体验毛笔书法的魅力。这两天您可以先备一支毛笔和墨水，不用太专业，能写就行。期待在课堂上见到您，一起静心练字好吗？🖌️,"260503;重要"
